販売名,よみがな（検索用）,薬のタイプ（性状）,保管場所,点眼前に振る,点眼後の拭き取り
ヒアレイン点眼液0.1％,ひあれいん,水性点眼液,室温,不要,不要
ヒアレイン点眼液0.3％,ひあれいん,水性点眼液,室温,不要,不要
ヒアレインミニ点眼液0.1％,ひあれいんみに,水性点眼液,室温,不要,不要
ヒアレインミニ点眼液0.3％,ひあれいんみに,水性点眼液,室温,不要,不要
ヒアルロン酸Na点眼液0.1%「センジュ」,ひあるろんさん,水性点眼液,室温,不要,不要
ヒアルロン酸Na点眼液0.3%「センジュ」,ひあるろんさん,水性点眼液,室温,不要,不要
ジクアス点眼液3％,じくあす,水性点眼液,室温,不要,不要
ジクアスLX点眼液3％,じくあす,水性点眼液,室温,不要,不要
ジクアホソルNa点眼液3％「ニットー」,じくあほそる,水性点眼液,室温,不要,不要
ムコスタ点眼液UD2％,むこすた,懸濁性点眼液,室温,必要,不要
レバミピド懸濁性点眼液2％「参天」,ればみぴど,懸濁性点眼液,室温,必要,不要
アバレプト懸濁性点眼液0.3%,あばれぷと,懸濁性点眼液,室温,必要,不要
アレジオン点眼液0.05％,あれじおん,水性点眼液,室温,不要,不要
アレジオンLX点眼液0.1％,あれじおん,水性点眼液,室温,不要,不要
エピナスチン塩酸塩LX点眼液0.1％「日点」,えぴなすちん,水性点眼液,室温,不要,不要
エピナスチン塩酸塩LX点眼液0.1％「ニットー」,えぴなすちん,水性点眼液,室温,不要,不要
パタノール点眼液0.1％,ぱたのーる,水性点眼液,室温,不要,不要
オロパタジン点眼液0.1%「センジュ」,おろぱたじん,水性点眼液,室温,不要,不要
リボスチン点眼液0.025％,りぼすちん,懸濁性点眼液,室温,必要,不要
タリムス点眼液0.1％,たりむす,懸濁性点眼液,室温,必要,不要
フルメトロン点眼液0.02％,ふるめとろん,懸濁性点眼液,室温,必要,必要
フルメトロン点眼液0.1％,ふるめとろん,懸濁性点眼液,室温,必要,必要
フルオロメトロン点眼液0.02％「センジュ」,ふるおろめとろん,懸濁性点眼液,室温,必要,必要
フルオロメトロン点眼液0.1％「センジュ」,ふるめとろん,懸濁性点眼液,室温,必要,必要
キサラタン点眼液0.005％,きさらたん,水性点眼液,冷所,不要,必要
タプロス点眼液0.0015％,たぷろす,水性点眼液,室温,不要,必要
タプロスミニ点眼液0.0015％,たぷろすみに,水性点眼液,冷所,不要,必要
ルミガン点眼液0.03％,るみがん,水性点眼液,室温,不要,必要
トラバタンズ点眼液0.004％,とらばたんず,水性点眼液,室温,不要,必要
グラナテック点眼液0.4％,ぐらなてっく,水性点眼液,室温,不要,不要
エイベリス点眼液0.002％,えいべりす,水性点眼液,冷所,不要,不要
エイベリスミニ点眼液0.002％,えいべりすみに,水性点眼液,冷所,不要,不要
アイファガン点眼液0.1％,あいふぁがん,水性点眼液,室温,不要,不要
